punish xn=,0.9926,steps,1080,rd=0.3,C,0.0199,R,0.9727,D,0.0074,Scost,22.2
punish xn=,0.9938,steps,1100,rd=0.3,C,0.0198,R,0.974,D,0.0062,Scost,18.6
punish xn=,0.9943,steps,1120,rd=0.3,C,0.0204,R,0.9739,D,0.0057,Scost,17.1
punish xn=,0.9943,steps,1140,rd=0.3,C,0.019,R,0.9753,D,0.0057,Scost,17.1
punish xn=,0.9969,steps,1160,rd=0.3,C,0.0258,R,0.9711,D,0.0031,Scost,9.3
punish xn=,0.9986,steps,1180,rd=0.3,C,0.0214,R,0.9772,D,0.0014,Scost,4.2
punish xn=,1,steps,1200,rd=0.3,C,0.0219,R,0.9781,D,0,Scost,0
punish xn=,1,steps,1220,rd=0.3,C,0.0238,R,0.9762,D,0,Scost,0
punish xn=,1,steps,1240,rd=0.3,C,0.0292,R,0.9708,D,0,Scost,0
punish xn=,1,steps,1260,rd=0.3,C,0.0377,R,0.9623,D,0,Scost,0
punish xn=,1,steps,1280,rd=0.3,C,0.0384,R,0.9616,D,0,Scost,0
punish xn=,1,steps,1300,rd=0.3,C,0.0498,R,0.9502,D,0,Scost,0
punish xn=,1,steps,1320,rd=0.3,C,0.0574,R,0.9426,D,0,Scost,0
punish xn=,1,steps,1340,rd=0.3,C,0.0638,R,0.9362,D,0,Scost,0
punish xn=,1,steps,1360,rd=0.3,C,0.0706,R,0.9294,D,0,Scost,0
punish xn=,1,steps,1380,rd=0.3,C,0.0798,R,0.9202,D,0,Scost,0
punish xn=,1,steps,1400,rd=0.3,C,0.0925,R,0.9075,D,0,Scost,0
punish xn=,1,steps,1420,rd=0.3,C,0.1028,R,0.8972,D,0,Scost,0
punish xn=,1,steps,1440,rd=0.3,C,0.1288,R,0.8712,D,0,Scost,0
punish xn=,1,steps,1460,rd=0.3,C,0.1379,R,0.8621,D,0,Scost,0
punish xn=,1,steps,1480,rd=0.3,C,0.148,R,0.852,D,0,Scost,0
punish xn=,1,steps,1500,rd=0.3,C,0.1611,R,0.8389,D,0,Scost,0
punish xn=,1,steps,1520,rd=0.3,C,0.173,R,0.827,D,0,Scost,0
punish xn=,1,steps,1540,rd=0.3,C,0.1812,R,0.8188,D,0,Scost,0
punish xn=,1,steps,1560,rd=0.3,C,0.1956,R,0.8044,D,0,Scost,0
punish xn=,1,steps,1580,rd=0.3,C,0.2122,R,0.7878,D,0,Scost,0
punish xn=,1,steps,1600,rd=0.3,C,0.2299,R,0.7701,D,0,Scost,0
punish xn=,1,steps,1620,rd=0.3,C,0.2525,R,0.7475,D,0,Scost,0
punish xn=,1,steps,1640,rd=0.3,C,0.2725,R,0.7275,D,0,Scost,0
punish xn=,1,steps,1660,rd=0.3,C,0.2792,R,0.7208,D,0,Scost,0
punish xn=,1,steps,1680,rd=0.3,C,0.2789,R,0.7211,D,0,Scost,0
punish xn=,1,steps,1700,rd=0.3,C,0.3033,R,0.6967,D,0,Scost,0
